NC(=O)c1ccc(OCC(F)(F)F)c(N)c1 VABQPFGHDPQYNW-UHFFFAOYSA-N
COc1cc(CNC(N)=O)cc(OC)c1OC BKMXPNAWGWSRIY-UHFFFAOYSA-N
COc1cc(C(=O)O)cc(Br)c1OC ZODURELBYVOPGP-UHFFFAOYSA-N
COc1cc(C(=O)CC#N)cc(OC)c1OC GFEMIDXDJDTTKQ-UHFFFAOYSA-N
COc1cc(C(O)=NO)cc(OC)c1OC PIULYJCFXUOXIV-UHFFFAOYSA-N
N#Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-] XBQUNNGYNBKOCN-UHFFFAOYSA-N
CCOC(=O)C(C=Nc1ccc(OC(F)(F)Cl)cc1)C(=O)OCC YSJZRKVSZPDWMW-UHFFFAOYSA-N
COc1cc(C(C)=O)c(Br)c(OC)c1OC BNHOTOXEFJYCFG-UHFFFAOYSA-N
COc1cc(C(C)O)c(Br)c(OC)c1OC UAZQFKMPZSJWPH-UHFFFAOYSA-N
O=C(O)c1cc(Cl)c(I)c(Cl)c1 QNSGDQZRDPAUTG-UHFFFAOYSA-N
COc1cc(C#CBr)cc(OC)c1OC VIUPTUCOKVNITQ-UHFFFAOYSA-N
COc1cc(C=C(Br)Br)cc(OC)c1OC NOFFVIYIDXNYNT-UHFFFAOYSA-N
